Run	Fitness1	Solution1	Fitness2	Solution2
8	0.000000	[13.011849,39.486158,35.878333]	0.000000	[31.665365,87.929291,32.266530]
8	0.000000	[31.665365,87.929291,32.266530]	0.000000	[35.586766,47.375806,37.398343]
8	0.000000	[35.586766,47.375806,37.398343]	0.000000	[36.244182,51.828101,22.820427]
8	0.000000	[36.244182,51.828101,22.820427]	0.000000	[11.429351,25.183037,62.404344]
8	0.000000	[11.429351,25.183037,62.404344]	0.000000	[37.227430,25.529626,33.941794]
8	0.000000	[37.227430,25.529626,33.941794]	0.000000	[81.683284,6.810270,66.173710]
8	0.000000	[81.683284,6.810270,66.173710]	0.000000	[62.244026,34.480289,26.704426]
8	0.000000	[62.244026,34.480289,26.704426]	0.000000	[63.450190,41.538863,51.857184]
8	0.000000	[63.450190,41.538863,51.857184]	0.000000	[34.025894,36.296312,17.601927]
8	0.000000	[34.025894,36.296312,17.601927]	0.000000	[54.225941,27.217681,51.248567]
8	0.000000	[54.225941,27.217681,51.248567]	0.000000	[39.728698,25.250122,66.119523]
8	0.000000	[39.728698,25.250122,66.119523]	0.000000	[65.186936,32.702317,58.624585]
9	0.000000	[47.270675,47.715151,47.565210]	0.000000	[47.715217,45.078164,49.279613]
9	0.000000	[47.715217,45.078164,49.279613]	0.000000	[47.023463,45.457055,45.576953]
9	0.000000	[47.023463,45.457055,45.576953]	0.000000	[47.165350,45.546947,46.533070]
9	0.000000	[47.165350,45.546947,46.533070]	0.000000	[47.288080,46.501025,43.738451]
9	0.000000	[47.288080,46.501025,43.738451]	0.000000	[47.318984,45.615134,48.355896]
9	0.000000	[47.318984,45.615134,48.355896]	0.000000	[46.679399,44.686886,44.970641]
9	0.000000	[46.679399,44.686886,44.970641]	0.000000	[46.469624,46.046428,47.477735]
9	0.000000	[46.469624,46.046428,47.477735]	0.000000	[47.596382,45.756693,47.395789]
9	0.000000	[47.596382,45.756693,47.395789]	0.000000	[47.408369,45.128907,47.499533]
9	0.000000	[47.408369,45.128907,47.499533]	0.000000	[46.498138,45.713455,44.926752]
9	0.000000	[46.498138,45.713455,44.926752]	0.000000	[48.049935,46.957324,50.246281]
9	0.000000	[48.049935,46.957324,50.246281]	0.000000	[46.788702,45.499833,48.969291]
9	0.000000	[46.788702,45.499833,48.969291]	0.000000	[47.698648,45.866356,51.088551]
9	0.000000	[47.698648,45.866356,51.088551]	0.000000	[49.349565,46.475291,47.365066]
9	0.000000	[49.349565,46.475291,47.365066]	0.000000	[46.137249,45.866050,46.756248]
9	0.000000	[46.137249,45.866050,46.756248]	0.000000	[46.498577,45.210102,48.246449]
9	0.000000	[46.498577,45.210102,48.246449]	0.000000	[48.107446,45.833517,46.336323]
9	0.000000	[48.107446,45.833517,46.336323]	0.000000	[47.472558,46.736947,48.896671]
9	0.000000	[47.472558,46.736947,48.896671]	0.000000	[47.823814,48.113193,47.405540]
9	0.000000	[47.823814,48.113193,47.405540]	0.000000	[46.291712,45.099447,46.301189]
10	0.000000	[46.603404,46.154123,46.850211]	0.000000	[47.706741,48.392505,48.007202]
10	0.000000	[47.706741,48.392505,48.007202]	0.000000	[47.470611,45.081409,46.802102]
10	0.000000	[47.470611,45.081409,46.802102]	0.000000	[47.222876,45.699098,46.533067]
10	0.000000	[47.222876,45.699098,46.533067]	0.000000	[48.002543,48.104785,48.167977]
10	0.000000	[48.002543,48.104785,48.167977]	0.000000	[48.157061,47.377889,46.242976]
10	0.000000	[48.157061,47.377889,46.242976]	0.000000	[47.814904,47.883678,46.659701]
10	0.000000	[47.814904,47.883678,46.659701]	0.000000	[47.145975,46.284164,46.132131]
10	0.000000	[47.145975,46.284164,46.132131]	0.000000	[46.986014,46.963046,47.692165]
10	0.000000	[46.986014,46.963046,47.692165]	0.000000	[47.760244,47.253021,45.986286]
10	0.000000	[47.760244,47.253021,45.986286]	0.000000	[48.468005,48.018629,46.063877]
10	0.000000	[48.468005,48.018629,46.063877]	0.000000	[48.309012,47.594655,47.369697]
10	0.000000	[48.309012,47.594655,47.369697]	0.000000	[47.314472,47.019465,46.227743]
10	0.000000	[47.314472,47.019465,46.227743]	0.000000	[46.912638,47.491632,47.170411]
10	0.000000	[46.912638,47.491632,47.170411]	0.000000	[47.737837,47.441085,48.045626]
10	0.000000	[47.737837,47.441085,48.045626]	0.000000	[47.916350,46.327459,46.106388]
10	0.000000	[47.916350,46.327459,46.106388]	0.000000	[46.669683,46.984941,46.461869]
10	0.000000	[46.669683,46.984941,46.461869]	0.000000	[46.452610,46.675276,44.852268]
10	0.000000	[46.452610,46.675276,44.852268]	0.000000	[47.226614,47.412695,48.002548]
10	0.000000	[47.226614,47.412695,48.002548]	0.000000	[48.531769,46.861482,46.568718]
10	0.000000	[48.531769,46.861482,46.568718]	0.000000	[47.200542,46.605954,47.133369]
11	0.000000	[42.836906,53.476153,45.534820]	0.000000	[50.380208,37.421291,57.233697]
11	0.000000	[50.380208,37.421291,57.233697]	0.000000	[47.004880,61.287020,41.450520]
11	0.000000	[47.004880,61.287020,41.450520]	0.000000	[49.281652,49.047664,50.405905]
11	0.000000	[49.281652,49.047664,50.405905]	0.000000	[46.710910,54.532173,43.979068]
11	0.000000	[46.710910,54.532173,43.979068]	0.000000	[60.656989,46.596210,45.523064]
11	0.000000	[60.656989,46.596210,45.523064]	0.000000	[50.328709,38.919277,33.972472]
11	0.000000	[50.328709,38.919277,33.972472]	0.000000	[47.068365,47.029830,54.126047]
11	0.000000	[47.068365,47.029830,54.126047]	0.000000	[42.933666,42.275753,50.594612]
11	0.000000	[42.933666,42.275753,50.594612]	0.000000	[45.064430,51.831756,55.370601]
11	0.000000	[45.064430,51.831756,55.370601]	0.000000	[44.781093,54.499157,58.755815]
11	0.000000	[44.781093,54.499157,58.755815]	0.000000	[49.573674,47.672277,42.201134]
11	0.000000	[49.573674,47.672277,42.201134]	0.000000	[43.347878,50.001738,39.672983]
11	0.000000	[43.347878,50.001738,39.672983]	0.000000	[49.683116,50.798596,44.853079]
11	0.000000	[49.683116,50.798596,44.853079]	0.000000	[42.821714,53.778926,46.304419]
11	0.000000	[42.821714,53.778926,46.304419]	0.000000	[49.027101,53.382899,40.315570]
11	0.000000	[49.027101,53.382899,40.315570]	0.000000	[43.829472,50.086330,44.053313]
11	0.000000	[43.829472,50.086330,44.053313]	0.000000	[44.664246,34.435270,52.416567]
11	0.000000	[44.664246,34.435270,52.416567]	0.000000	[50.308692,41.641943,50.739636]
11	0.000000	[50.308692,41.641943,50.739636]	0.000000	[45.789918,48.435440,42.659248]
11	0.000000	[45.789918,48.435440,42.659248]	0.000000	[43.628902,51.227391,37.280724]
12	0.000000	[47.297785,44.999127,44.978557]	0.000000	[46.632704,43.091394,46.988037]
12	0.000000	[46.632704,43.091394,46.988037]	0.000000	[49.458479,47.719885,45.983176]
12	0.000000	[49.458479,47.719885,45.983176]	0.000000	[47.413590,49.829913,48.222899]
12	0.000000	[47.413590,49.829913,48.222899]	0.000000	[50.536048,48.674716,45.579562]
12	0.000000	[50.536048,48.674716,45.579562]	0.000000	[45.758400,45.395519,46.575341]
12	0.000000	[45.758400,45.395519,46.575341]	0.000000	[46.095293,47.935739,50.016826]
12	0.000000	[46.095293,47.935739,50.016826]	0.000000	[47.408230,47.365230,49.504703]
12	0.000000	[47.408230,47.365230,49.504703]	0.000000	[46.726540,50.797646,44.225832]
12	0.000000	[46.726540,50.797646,44.225832]	0.000000	[49.669060,46.335125,46.364749]
12	0.000000	[49.669060,46.335125,46.364749]	0.000000	[48.314122,47.433527,50.201058]
12	0.000000	[48.314122,47.433527,50.201058]	0.000000	[47.526715,46.458720,48.449020]
12	0.000000	[47.526715,46.458720,48.449020]	0.000000	[45.346229,45.157906,46.252422]
12	0.000000	[45.346229,45.157906,46.252422]	0.000000	[47.742150,47.860860,49.578545]
12	0.000000	[47.742150,47.860860,49.578545]	0.000000	[47.815235,44.442916,49.424157]
12	0.000000	[47.815235,44.442916,49.424157]	0.000000	[47.839929,48.957360,45.570788]
12	0.000000	[47.839929,48.957360,45.570788]	0.000000	[48.739237,47.218290,44.979417]
12	0.000000	[48.739237,47.218290,44.979417]	0.000000	[51.741099,46.135541,47.578533]
12	0.000000	[51.741099,46.135541,47.578533]	0.000000	[47.475555,48.851281,48.557092]
12	0.000000	[47.475555,48.851281,48.557092]	0.000000	[46.703927,46.797800,45.241498]
12	0.000000	[46.703927,46.797800,45.241498]	0.000000	[45.766846,45.731117,48.482688]
13	0.000000	[48.887174,54.555323,46.244192]	0.000000	[51.299323,48.740703,43.178320]
13	0.000000	[51.299323,48.740703,43.178320]	0.000000	[44.031680,42.711805,56.771720]
13	0.000000	[44.031680,42.711805,56.771720]	0.000000	[46.324118,47.898575,44.869839]
13	0.000000	[46.324118,47.898575,44.869839]	0.000000	[46.744925,48.780665,48.611368]
13	0.000000	[46.744925,48.780665,48.611368]	0.000000	[44.811932,37.884966,49.339627]
13	0.000000	[44.811932,37.884966,49.339627]	0.000000	[45.509613,39.119744,52.647202]
13	0.000000	[45.509613,39.119744,52.647202]	0.000000	[48.473441,47.394607,51.302988]
13	0.000000	[48.473441,47.394607,51.302988]	0.000000	[50.255841,44.688075,48.841103]
13	0.000000	[50.255841,44.688075,48.841103]	0.000000	[45.560739,35.771660,45.745123]
13	0.000000	[45.560739,35.771660,45.745123]	0.000000	[41.930851,46.198313,44.388590]
13	0.000000	[41.930851,46.198313,44.388590]	0.000000	[48.224036,47.550520,42.841446]
13	0.000000	[48.224036,47.550520,42.841446]	0.000000	[49.420969,40.110628,45.579808]
13	0.000000	[49.420969,40.110628,45.579808]	0.000000	[45.675200,51.799675,50.888098]
13	0.000000	[45.675200,51.799675,50.888098]	0.000000	[42.265646,41.751440,52.856606]
13	0.000000	[42.265646,41.751440,52.856606]	0.000000	[51.459860,48.246691,49.470314]
13	0.000000	[51.459860,48.246691,49.470314]	0.000000	[44.393751,45.760321,39.926188]
13	0.000000	[44.393751,45.760321,39.926188]	0.000000	[50.028987,44.084674,47.874596]
13	0.000000	[50.028987,44.084674,47.874596]	0.000000	[51.150155,49.727210,47.528367]
13	0.000000	[51.150155,49.727210,47.528367]	0.000000	[41.756268,51.986732,47.891530]
13	0.000000	[41.756268,51.986732,47.891530]	0.000000	[47.571797,46.004003,43.146520]
14	0.000000	[50.751126,44.251365,53.126950]	0.000000	[53.505079,40.841463,39.947092]
14	0.000000	[53.505079,40.841463,39.947092]	0.000000	[43.061537,44.964820,57.019789]
14	0.000000	[43.061537,44.964820,57.019789]	0.000000	[37.150076,44.170154,44.182071]
14	0.000000	[37.150076,44.170154,44.182071]	0.000000	[51.369230,31.644064,41.606630]
14	0.000000	[51.369230,31.644064,41.606630]	0.000000	[59.689049,41.606754,41.507472]
14	0.000000	[59.689049,41.606754,41.507472]	0.000000	[41.584526,55.717400,51.432187]
14	0.000000	[41.584526,55.717400,51.432187]	0.000000	[47.250620,45.974692,38.950506]
14	0.000000	[47.250620,45.974692,38.950506]	0.000000	[48.284528,38.447887,42.861828]
14	0.000000	[48.284528,38.447887,42.861828]	0.000000	[50.592822,46.839349,56.631686]
14	0.000000	[50.592822,46.839349,56.631686]	0.000000	[50.034923,58.033608,47.058017]
14	0.000000	[50.034923,58.033608,47.058017]	0.000000	[59.420356,42.462809,36.885173]
14	0.000000	[59.420356,42.462809,36.885173]	0.000000	[52.272240,44.762056,42.698291]
14	0.000000	[52.272240,44.762056,42.698291]	0.000000	[46.935275,51.741023,47.068083]
14	0.000000	[46.935275,51.741023,47.068083]	0.000000	[60.118020,47.100822,55.409370]
14	0.000000	[60.118020,47.100822,55.409370]	0.000000	[50.149621,50.220618,44.550748]
14	0.000000	[50.149621,50.220618,44.550748]	0.000000	[45.584015,49.963408,50.823665]
14	0.000000	[45.584015,49.963408,50.823665]	0.000000	[59.427678,40.299114,50.995463]
14	0.000000	[59.427678,40.299114,50.995463]	0.000000	[52.087824,54.552949,40.673328]
14	0.000000	[52.087824,54.552949,40.673328]	0.000000	[47.401522,53.848068,54.895620]
14	0.000000	[47.401522,53.848068,54.895620]	0.000000	[49.344581,51.231901,42.644110]
15	0.000000	[49.186589,47.616887,43.645801]	0.000000	[46.956775,47.672171,49.214664]
15	0.000000	[46.956775,47.672171,49.214664]	0.000000	[46.015556,49.022645,47.295373]
15	0.000000	[46.015556,49.022645,47.295373]	0.000000	[48.077105,46.945239,51.464215]
15	0.000000	[48.077105,46.945239,51.464215]	0.000000	[45.004373,49.959437,46.010676]
15	0.000000	[45.004373,49.959437,46.010676]	0.000000	[48.920817,44.680078,46.260635]
15	0.000000	[48.920817,44.680078,46.260635]	0.000000	[46.714099,48.115050,45.596243]
15	0.000000	[46.714099,48.115050,45.596243]	0.000000	[43.319809,49.110895,47.407443]
15	0.000000	[43.319809,49.110895,47.407443]	0.000000	[47.563181,46.725545,47.813442]
15	0.000000	[47.563181,46.725545,47.813442]	0.000000	[46.168390,46.169846,43.090597]
15	0.000000	[46.168390,46.169846,43.090597]	0.000000	[47.205034,49.042575,46.129136]
15	0.000000	[47.205034,49.042575,46.129136]	0.000000	[45.832441,46.479167,45.834570]
15	0.000000	[45.832441,46.479167,45.834570]	0.000000	[46.828061,49.244028,47.349757]
15	0.000000	[46.828061,49.244028,47.349757]	0.000000	[48.440890,45.121965,50.180597]
15	0.000000	[48.440890,45.121965,50.180597]	0.000000	[46.702107,47.228961,48.030334]
15	0.000000	[46.702107,47.228961,48.030334]	0.000000	[45.651937,50.826794,47.367925]
15	0.000000	[45.651937,50.826794,47.367925]	0.000000	[46.128779,45.397130,47.073809]
15	0.000000	[46.128779,45.397130,47.073809]	0.000000	[45.813684,45.647486,47.051407]
15	0.000000	[45.813684,45.647486,47.051407]	0.000000	[46.359078,45.447197,44.546155]
15	0.000000	[46.359078,45.447197,44.546155]	0.000000	[45.778663,46.214298,47.310444]
15	0.000000	[45.778663,46.214298,47.310444]	0.000000	[45.363548,46.005137,47.019403]
16	0.000000	[46.790007,45.713126,47.693098]	0.000000	[49.837621,46.114871,49.053643]
16	0.000000	[49.837621,46.114871,49.053643]	0.000000	[47.701122,45.222226,46.883549]
